start_year,averagerating
2010,4.058333333333333
2011,4.9
2012,4.9
2013,6.127272727272728
2014,6.725
2015,5.2
2016,6.8999999999999995
2017,5.8500000000000005
2018,7.272727272727272
2019,6.318181818181818
